ID,full_year_008,Date of publication(260_c_un_2641_c)
336967,2007,200-
336968,2007,2002
336991,2007,19--
337045,1995,"1995, 1997"
337426,1995,20--
337520,1995,20--
337659,1995,1935
345912,2002,1982
345918,2002,1982
345927,2002,1982
345929,2002,1982
345931,2002,1982
345932,2002,1982
345939,2002,1982
345951,2002,1980
347201,1995,19--
348239,1995,1981
353920,1943,19--
357276,1943,19--
357280,1943,19--
357281,1943,19--
357284,1943,19--
357515,1943,1971
357596,1943,1995
361637,1943,19--
362009,1943,19--
362016,1943,19--
362547,2008,2006-2008
364315,2007,19--
365465,2007,19--
365494,1983,19--
372348,2007,1884-1885
373043,2007,200-
377301,2008,19--
377315,2008,2005
377317,2008,19--
378030,2008,19--
378649,2008,1971
378674,2008,19--
378688,2008,1908
378693,2008,1908
378696,2008,1908
378700,2008,1906
378724,2008,19--
378815,1906,19--
378827,1906,1908
378863,1906,izdošanas gads nav zināms
386720,1908,1906
386959,1906,200-
389253,1942,izdošanas gads nav zināms
389984,1904,19--
389986,1904,izdošanas gads nav zināms
390122,1904,19--
390123,1904,19--
390256,1904,19--
390263,1904,19--
391732,1938,19--
391904,1938,1906-1919
391954,1934,19--
391956,1934,19--
391959,1934,izdošanas gads nav zināms
392082,1928,19--
392132,1933,19--
392137,1933,19--
392152,1933,19--
392153,1933,19--
392156,1933,19--
392201,1933,izdošanas gads nav zināms
392208,1933,izdošanas gads nav zināms
392254,1958,19--
392268,1958,19--
392322,1958,19--
392323,1958,19--
392345,1958,1971
392393,1902,1903
392531,1903,19--
392578,1903,19--
392580,1903,19--
392581,1903,19--
392583,1903,19--
392723,1934,1936
392733,1934,19--
393030,1934,19--
393145,1934,19--
393164,1934,19--
393432,1932,19--
394202,1932,19--
397866,2008,1936
398482,1936,19--
400084,1987,izdošanas gads nav zināms
400119,1987,izdošanas gads nav zināms
401856,2008,1932
402317,1996,2004
405578,2009,19--
405579,2009,19--
405580,2009,19--
405581,2009,1958-1967
405590,2009,19--
408667,1986,19--
408671,1986,1994
408675,1986,19--
408708,1986,1964
409957,1986,199-
411230,1986,2008
411280,2007,19--
411283,2007,19--
424120,1925,izdošanas gads nav zināms
424145,1950,1955
424151,1950,1953
424919,1987,izdošanas gads nav zināms
425650,1987,2005
425664,1987,2009
426306,1937,19--
426339,1937,190-
428201,1997,2008
428232,1997,1987
428866,1997,1996
428907,1997,2008
429833,1997,2006-2008
430321,1997,19--
440851,1941,1996
448279,2009,192-
449899,2009,19--
449900,2009,19--
449914,2009,19--
449971,1984,19--
449973,1984,193-
449974,1984,19--
449975,1984,19--
449978,1984,19--
449979,1984,1---
449980,1984,19--
449990,1984,19--
449993,1984,19--
449994,1984,19--
450014,1984,19--
450019,1984,19--
450020,1984,19--
450022,1984,19--
450025,1984,19--
450030,1984,19--
450044,1984,19--
450047,1984,192-
450058,1985,1986
450279,1998,19--
450293,1998,19--
450297,1922,1---
450299,1922,1---
450302,1922,19--
450304,1922,19--
450307,1922,1---
450310,1922,19--
450311,1922,izdošanas gads nav zināms
450312,1922,19--
